accuracy,f1_score,recall,precision,k,modelo_ML
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,7,Gaussian NB
0.8411904517211317,0.8331820034217657,0.8411904517211317,0.8334175750878212,8,MLP
0.8024630936529775,0.8022557810828693,0.8024630936529775,0.8020535464086636,8,Decision Tree
0.8235005339275654,0.8203644615712409,0.8235005339275654,0.8182957439836849,8,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,8,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,8,Gaussian NB
0.8412211982071021,0.8342331092415849,0.8412211982071021,0.8341343959855038,9,MLP
0.8017567054465894,0.8015439414220986,0.8017567054465894,0.8013359999237932,9,Decision Tree
0.8234083944490247,0.8200770402234414,0.8234083944490247,0.8179371354894531,9,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,9,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,9,Gaussian NB
